Company,Category,Company Stage,Pricing Model,Usage-flavored,Number of Tiers,Has Free Tier,Has Free Trial,Entry Price (USD/mo),Entry Price Basis,Top Visible Price (USD/mo),Has Contact-Sales Tier,Annual Discount (%),Price Transparent,Mentions AI,AI Monetization,Charges Extra for AI,AI Add-on Price (USD/mo),Mentions SSO,SSO Location,SSO Tax,Confidence,Source Method
Gusto,HR & People,Late-stage Private,Flat-rate,FALSE,4,FALSE,FALSE,35.0,Flat,180.0,FALSE,,TRUE,FALSE,None,FALSE,,FALSE,Not mentioned,FALSE,high,apify
Hibob,HR & People,Late-stage Private,Contact-only,FALSE,,FALSE,FALSE,,,,TRUE,,FALSE,FALSE,None,FALSE,,FALSE,Not mentioned,FALSE,high,webfetch
Justworks,HR & People,Public,Per-seat,FALSE,4,FALSE,FALSE,8.0,Per seat,599.0,FALSE,,TRUE,FALSE,None,FALSE,,FALSE,Not mentioned,FALSE,high,apify
Lattice,HR & People,Late-stage Private,Per-seat,FALSE,3,FALSE,FALSE,4.0,Per seat,10.0,TRUE,,TRUE,TRUE,Bundled,FALSE,,TRUE,All tiers,FALSE,medium,webfetch
Lever,HR & People,Private,Contact-only,FALSE,,FALSE,FALSE,,,,TRUE,,FALSE,TRUE,Bundled,FALSE,,FALSE,Not mentioned,FALSE,high,webfetch
Personio,HR & People,Late-stage Private,Per-seat,FALSE,2,FALSE,FALSE,8.2,Per seat,,FALSE,10.0,TRUE,FALSE,None,FALSE,,TRUE,All tiers,FALSE,medium,apify
Remote,HR & People,Late-stage Private,Per-seat,FALSE,7,FALSE,FALSE,29.0,Per seat,699.0,TRUE,,TRUE,TRUE,Bundled,FALSE,,FALSE,Not mentioned,FALSE,high,webfetch
Rippling,HR & People,Late-stage Private,Contact-only,FALSE,,FALSE,FALSE,,,,TRUE,,FALSE,TRUE,Unknown,FALSE,,TRUE,Not mentioned,FALSE,medium,apify
Workable,HR & People,Growth,Hybrid,TRUE,3,FALSE,TRUE,299.0,Flat,719.0,FALSE,20.0,TRUE,TRUE,Usage credits,TRUE,0.12,TRUE,Top paid tier,TRUE,high,webfetch
ActiveCampaign,Martech,Growth,Contact-only,FALSE,4,FALSE,TRUE,,,,TRUE,,FALSE,TRUE,Bundled,FALSE,,TRUE,Top paid tier,TRUE,medium,webfetch
Ahrefs,Martech,Bootstrapped,Flat-rate,FALSE,4,FALSE,FALSE,129.0,Flat,1499.0,TRUE,17.0,TRUE,TRUE,Bundled,FALSE,99.0,TRUE,Enterprise only,TRUE,high,webfetch
Braze,Martech,Public,Usage-based,TRUE,4,FALSE,TRUE,,Usage,,TRUE,,FALSE,TRUE,Bundled,FALSE,,TRUE,Mid tier,FALSE,high,webfetch
Brevo,Martech,Growth,Usage-based,TRUE,5,TRUE,FALSE,,Usage,,TRUE,10.0,TRUE,TRUE,Bundled,FALSE,,TRUE,Enterprise only,TRUE,medium,apify
Buffer,Martech,Bootstrapped,Per-seat,FALSE,3,TRUE,TRUE,5.0,Per seat,10.0,FALSE,20.0,TRUE,TRUE,Bundled,FALSE,,FALSE,Not mentioned,FALSE,high,webfetch
Constant Contact,Martech,Private,Hybrid,TRUE,3,FALSE,TRUE,12.0,Flat,80.0,FALSE,15.0,TRUE,TRUE,Bundled,FALSE,,FALSE,Not mentioned,FALSE,high,manual
Customer.io,Martech,Growth,Usage-based,TRUE,4,FALSE,TRUE,,Usage,,TRUE,,TRUE,TRUE,Usage credits,TRUE,10.0,TRUE,Enterprise only,TRUE,medium,webfetch
Hootsuite,Martech,Private,Per-seat,FALSE,4,FALSE,TRUE,99.0,Per seat,399.0,TRUE,,TRUE,TRUE,Bundled,FALSE,,TRUE,Enterprise only,TRUE,high,webfetch
Kit,Martech,Growth,Flat-rate,FALSE,3,TRUE,TRUE,33.0,Flat,66.0,FALSE,17.0,TRUE,TRUE,Bundled,FALSE,,FALSE,Not mentioned,FALSE,high,webfetch
Klaviyo,Martech,Public,Usage-based,TRUE,8,TRUE,FALSE,,Usage,,TRUE,,TRUE,TRUE,Higher tier,TRUE,,FALSE,Not mentioned,FALSE,medium,webfetch
Mailchimp,Martech,Public,Usage-based,TRUE,4,TRUE,TRUE,13.0,Usage,350.0,TRUE,15.0,TRUE,TRUE,Bundled,FALSE,,FALSE,Not mentioned,FALSE,high,webfetch
Mailgun,Martech,Growth,Usage-based,TRUE,5,TRUE,TRUE,15.0,Usage,90.0,TRUE,,TRUE,TRUE,Bundled,FALSE,,TRUE,Top paid tier,TRUE,high,webfetch
Moz,Martech,Private,Flat-rate,FALSE,5,FALSE,TRUE,49.0,Flat,299.0,TRUE,20.0,TRUE,TRUE,Bundled,FALSE,,FALSE,Not mentioned,FALSE,high,apify
Semrush,Martech,Public,Flat-rate,FALSE,4,FALSE,TRUE,117.33,Flat,455.67,TRUE,17.0,TRUE,TRUE,Bundled,FALSE,,TRUE,Enterprise only,TRUE,high,webfetch
Sprout Social,Martech,Public,Per-seat,FALSE,5,FALSE,TRUE,79.0,Per seat,399.0,TRUE,20.0,TRUE,TRUE,Higher tier,TRUE,,TRUE,Enterprise only,TRUE,high,webfetch
Typeform,Martech,Growth,Flat-rate,FALSE,7,TRUE,TRUE,28.0,Flat,266.0,TRUE,30.0,TRUE,TRUE,Bundled,FALSE,,TRUE,Enterprise only,TRUE,high,webfetch
Webflow,Martech,Late-stage Private,Hybrid,TRUE,5,TRUE,FALSE,15.0,Flat,49.0,TRUE,20.0,TRUE,TRUE,Usage credits,TRUE,20.0,TRUE,Enterprise only,TRUE,medium,manual
1Password,Security & Identity,Late-stage Private,Per-seat,FALSE,2,FALSE,TRUE,8.99,Per seat,24.95,TRUE,,TRUE,FALSE,None,FALSE,,TRUE,Top paid tier,TRUE,medium,webfetch
Auth0,Security & Identity,Public,Hybrid,TRUE,4,TRUE,FALSE,35.0,Usage,3800.0,TRUE,8.33,TRUE,TRUE,Paid add-on,TRUE,18.0,TRUE,All tiers,FALSE,high,webfetch
Bitwarden,Security & Identity,Growth,Per-seat,FALSE,4,TRUE,TRUE,1.65,Flat,6.0,TRUE,,TRUE,FALSE,None,FALSE,,TRUE,Top paid tier,TRUE,high,webfetch
Cloudflare,Security & Identity,Public,Hybrid,TRUE,4,TRUE,FALSE,20.0,Flat,250.0,TRUE,20.0,TRUE,TRUE,Usage credits,TRUE,,TRUE,All tiers,FALSE,high,webfetch
CrowdStrike,Security & Identity,Public,Per-seat,FALSE,4,FALSE,TRUE,7.99,Usage,19.99,TRUE,37.5,TRUE,TRUE,Bundled,FALSE,,FALSE,Not mentioned,FALSE,high,webfetch
Dashlane,Security & Identity,Growth,Contact-only,FALSE,3,FALSE,TRUE,,,,TRUE,,FALSE,TRUE,Bundled,FALSE,,TRUE,Top paid tier,TRUE,high,webfetch
Drata,Security & Identity,Late-stage Private,Contact-only,FALSE,,FALSE,FALSE,,,,TRUE,,FALSE,TRUE,Bundled,FALSE,,FALSE,Not mentioned,FALSE,high,webfetch
Duo Security,Security & Identity,Public,Per-seat,FALSE,4,TRUE,TRUE,3.0,Per seat,9.0,FALSE,,TRUE,TRUE,Higher tier,TRUE,,TRUE,Mid tier,FALSE,high,webfetch
JumpCloud,Security & Identity,Growth,Per-seat,FALSE,6,FALSE,TRUE,9.0,Per seat,,TRUE,18.0,TRUE,TRUE,Bundled,FALSE,,TRUE,Mid tier,FALSE,high,webfetch
LastPass,Security & Identity,Private,Per-seat,FALSE,6,TRUE,TRUE,2.99,Flat,,TRUE,30.0,TRUE,FALSE,None,FALSE,,TRUE,Top paid tier,TRUE,medium,webfetch
Okta,Security & Identity,Public,Per-seat,FALSE,5,FALSE,TRUE,6.0,Per seat,17.0,TRUE,,TRUE,TRUE,Bundled,FALSE,,TRUE,All tiers,FALSE,high,webfetch
Snyk,Security & Identity,Late-stage Private,Per-seat,FALSE,4,TRUE,FALSE,25.0,Per seat,105.0,TRUE,,TRUE,TRUE,Bundled,FALSE,,TRUE,Mid tier,FALSE,high,webfetch
Sysdig,Security & Identity,Late-stage Private,Contact-only,FALSE,2,FALSE,FALSE,,,,TRUE,,FALSE,TRUE,Unknown,FALSE,,FALSE,Not mentioned,FALSE,high,webfetch
Tailscale,Security & Identity,Growth,Per-seat,FALSE,4,TRUE,TRUE,8.0,Per seat,18.0,TRUE,,TRUE,TRUE,Higher tier,TRUE,,TRUE,Mid tier,FALSE,high,webfetch
Twingate,Security & Identity,Growth,Per-seat,FALSE,5,TRUE,TRUE,5.0,Per seat,10.0,TRUE,15.0,TRUE,FALSE,None,FALSE,,TRUE,Mid tier,FALSE,high,webfetch
Vanta,Security & Identity,Late-stage Private,Contact-only,FALSE,4,FALSE,FALSE,,,,TRUE,,FALSE,TRUE,Bundled,FALSE,,FALSE,Not mentioned,FALSE,medium,webfetch
Wiz,Security & Identity,Late-stage Private,Contact-only,FALSE,5,FALSE,FALSE,,,,TRUE,,FALSE,FALSE,Unknown,FALSE,,FALSE,Not mentioned,FALSE,high,webfetch
WorkOS,Security & Identity,Growth,Usage-based,TRUE,2,TRUE,FALSE,,Usage,,TRUE,,TRUE,FALSE,None,FALSE,,TRUE,All tiers,FALSE,high,manual
Ada,Support & CX,Late-stage Private,Contact-only,FALSE,,FALSE,FALSE,,,,TRUE,,FALSE,TRUE,Unknown,FALSE,,FALSE,Not mentioned,FALSE,high,webfetch
Crisp,Support & CX,Bootstrapped,Flat-rate,FALSE,5,TRUE,TRUE,45.0,Flat,295.0,TRUE,,TRUE,TRUE,Bundled,FALSE,,FALSE,Not mentioned,FALSE,high,webfetch
Dixa,Support & CX,Growth,Per-seat,FALSE,3,FALSE,FALSE,97.8,Per seat,195.9,FALSE,20.0,TRUE,TRUE,Bundled,FALSE,,TRUE,Top paid tier,TRUE,high,webfetch
Freshdesk,Support & CX,Public,Per-seat,FALSE,3,FALSE,TRUE,19.0,Per seat,89.0,FALSE,20.0,TRUE,TRUE,Paid add-on,TRUE,29.0,TRUE,Mid tier,FALSE,high,webfetch
Front,Support & CX,Growth,Per-seat,FALSE,3,FALSE,TRUE,25.0,Per seat,105.0,TRUE,24.0,TRUE,TRUE,Paid add-on,TRUE,20.0,TRUE,Mid tier,FALSE,high,webfetch
Gladly,Support & CX,Late-stage Private,Contact-only,FALSE,,FALSE,FALSE,,,,TRUE,,FALSE,TRUE,Bundled,FALSE,,FALSE,Not mentioned,FALSE,high,webfetch
Gorgias,Support & CX,Growth,Contact-only,FALSE,3,FALSE,TRUE,,,,TRUE,,FALSE,TRUE,Bundled,FALSE,,FALSE,Not mentioned,FALSE,medium,webfetch
HappyFox,Support & CX,Bootstrapped,Contact-only,FALSE,,FALSE,TRUE,,Per seat,,TRUE,20.0,FALSE,TRUE,Bundled,FALSE,,TRUE,Enterprise only,TRUE,high,webfetch
Help Scout,Support & CX,Growth,Per-seat,FALSE,4,TRUE,TRUE,25.0,Per seat,75.0,FALSE,16.0,TRUE,TRUE,Paid add-on,TRUE,0.75,TRUE,Top paid tier,TRUE,high,webfetch
Intercom,Support & CX,Late-stage Private,Hybrid,TRUE,3,FALSE,TRUE,29.0,Per seat,132.0,TRUE,,TRUE,TRUE,Usage credits,TRUE,,TRUE,Top paid tier,TRUE,high,webfetch
Kayako,Support & CX,Private,Usage-based,TRUE,2,FALSE,FALSE,1.0,Usage,,TRUE,,TRUE,TRUE,Usage credits,TRUE,1.0,FALSE,Not mentioned,FALSE,high,webfetch
Kustomer,Support & CX,Private,Contact-only,FALSE,,FALSE,FALSE,,,,TRUE,,FALSE,TRUE,Bundled,FALSE,,TRUE,All tiers,FALSE,high,webfetch
LiveAgent,Support & CX,Bootstrapped,Per-seat,FALSE,4,FALSE,TRUE,10.0,Per seat,46.0,TRUE,33.0,TRUE,TRUE,Bundled,FALSE,,TRUE,Mid tier,FALSE,high,webfetch
Reamaze,Support & CX,Bootstrapped,Per-seat,FALSE,4,FALSE,TRUE,29.0,Per seat,69.0,FALSE,10.0,TRUE,TRUE,Bundled,FALSE,,FALSE,Not mentioned,FALSE,high,webfetch
Tidio,Support & CX,Growth,Hybrid,TRUE,5,TRUE,TRUE,24.17,Flat,300.0,TRUE,16.67,TRUE,TRUE,Higher tier,TRUE,32.5,TRUE,Top paid tier,TRUE,high,webfetch
Zendesk,Support & CX,Public,Per-seat,FALSE,4,FALSE,TRUE,19.0,Per seat,115.0,TRUE,20.0,TRUE,TRUE,Paid add-on,TRUE,50.0,FALSE,Not mentioned,FALSE,high,webfetch
Zoho Desk,Support & CX,Bootstrapped,Per-seat,FALSE,5,TRUE,TRUE,5.04,Per seat,28.8,TRUE,34.0,TRUE,TRUE,Bundled,FALSE,,FALSE,Not mentioned,FALSE,high,webfetch
